R@10,R@50,duration_seconds,epoch,evaluated,lr_composition,lr_image_encoder,lr_text_encoder,peak_allocated_gib,peak_reserved_gib,timestamp_utc,train_loss
,,134.074,47,False,3.93998485911296e-05,2.155848285351728e-06,2.155848285351728e-06,5.382,5.602,2026-07-13T10:16:48.509663+00:00,0.5538153564308417
,,135.729,48,False,3.431667876218286e-05,2.002843173443632e-06,2.002843173443632e-06,5.372,5.602,2026-07-13T10:19:23.627910+00:00,0.5511723379081583
,,136.128,49,False,2.9551959340945383e-05,1.859423525312738e-06,1.859423525312738e-06,5.379,5.602,2026-07-13T10:21:59.101343+00:00,0.5457130713577576
19.484382746653445,44.273673772930096,147.442,50,True,2.511875009215913e-05,1.7259824442455929e-06,1.7259824442455929e-06,5.371,5.602,2026-07-13T10:24:45.527990+00:00,0.5488047969930949
,,135.712,51,False,2.1029202134226422e-05,1.6028856829700262e-06,1.6028856829700262e-06,5.382,5.602,2026-07-13T10:27:22.115788+00:00,0.5453420880245653
,,136.861,52,False,1.7294524633839024e-05,1.4904706411523453e-06,1.4904706411523453e-06,5.391,5.602,2026-07-13T10:29:58.444720+00:00,0.5482039489051237
,,135.826,53,False,1.392495408243116e-05,1.389045440608296e-06,1.389045440608296e-06,5.389,5.602,2026-07-13T10:32:33.122878+00:00,0.5469825694905245
,,136.174,54,False,1.0929726238668344e-05,1.2988880807625924e-06,1.2988880807625924e-06,5.374,5.602,2026-07-13T10:35:09.713159+00:00,0.5420463368854421
19.781854238968766,44.32325235498264,145.218,55,True,8.31705081387455e-06,1.2202456766718092e-06,1.2202456766718092e-06,5.384,5.602,2026-07-13T10:37:54.841726+00:00,0.5391091369291677
,,136.547,56,False,6.09408896978429e-06,1.1533337816991927e-06,1.1533337816991927e-06,5.381,5.602,2026-07-13T10:40:55.837377+00:00,0.5423831640080334
,,136.911,57,False,4.266933690296051e-06,1.0983357966978744e-06,1.0983357966978744e-06,5.38,5.602,2026-07-13T10:43:32.559096+00:00,0.5435030914165757
,,135.216,58,False,2.840593081026921e-06,1.0554024673218806e-06,1.0554024673218806e-06,5.382,5.602,2026-07-13T10:46:09.632017+00:00,0.5420908936284443
,,137.391,59,False,1.818976642443127e-06,1.0246514708427697e-06,1.0246514708427697e-06,5.391,5.602,2026-07-13T10:48:52.187222+00:00,0.5395223796367645
19.633118492811104,44.76945959345563,150.16,60,True,1.204884554191212e-06,1.0061670936044177e-06,1.0061670936044177e-06,5.391,5.602,2026-07-13T10:51:44.812544+00:00,0.5417506841414752
